Policies->Policy Objects->Service Objects

Service Name,Protocol,Dest Port Type,Destination Port,Src Port Type,Source Port,ICMP Type,ICMP Code
AOL,TCP,range,5190-5193,range,1024-65535,,
ARCHIE,TCP,range,1525-1525,range,1024-65535,,
Any,Other 0,range,1-65535,any,1-65535,Any,Any
Any-icmp,ICMP,,,,,Any,Any
Any_TCP,TCP,range,1-65535,range,1-65535,,
Any_UDP,UDP,range,1-65535,range,1-65535,,
BITTORRENT,TCP,range,6881-6999,range,1024-65535,,
BITTORRENT_TRACKER,TCP,range,6969-6969,range,1024-65535,,
CITRIX_MetaFrame_TCP,TCP,eq,1494,range,1024-65535,,
CITRIX_MetaFrame_UDP,UDP,eq,1604,range,1024-65535,,
CUSeeMeData,UDP,eq,7648,eq,7648,,
CUSeeMeRequest,TCP,eq,7648,eq,7649,,
DHCPRelay,UDP,eq,67,eq,67,,
DHCP_Request,UDP,range,67-68,range,67-68,,
DHCP_Response,UDP,range,67-68,range,67-68,,
DNS_Server,UDP,eq,53,eq,53,,
DNS_TCP,TCP,eq,53,range,1024-65535,,
DNS_UDP,UDP,eq,53,range,1024-65535,,
DOOM,TCP,eq,666,range,1024-65535,,
ECHO,UDP,eq,7,range,1024-65535,,
FASTTRACK_TCP,TCP,eq,1214,range,1024-65535,,
FASTTRACK_UDP,UDP,eq,1214,range,1024-65535,,
FINGER,UDP,eq,79,range,1024-65535,,
FTP,TCP,eq,21,range,1024-65535,,
FTP-Data,TCP,range,1024-65535,eq,20,,
FTPS,TCP,eq,990,range,1024-65535,,
FTPS_DATA,TCP,eq,989,range,1024-65535,,
FlexLM,TCP,eq,1165,range,1024-65535,,
FlexLM_TCP_PORTS,TCP,range,27010-27090,range,1024-65535,,
FlexLM_UDP_PORTS,UDP,range,27010-27090,range,1024-65535,,
GNUTELLA_TCP,TCP,range,6346-6347,range,1024-65535,,
GNUTELLA_UDP,UDP,range,6346-6347,range,1024-65535,,
GOPHER,TCP,eq,70,range,1024-65535,,
GRE,Other 47,range,1-65535,range,1-65535,,
H323_AudioCallControl,TCP,eq,1731,range,1024-65535,,
H323_CallSetup,TCP,eq,1720,range,1024-65535,,
H323_GatekeeperDiscovery,TCP,eq,1718,range,1024-65535,,
H323_GatekeeperRSA,TCP,eq,1719,range,1024-65535,,
HP_Jetdirect,TCP,range,9100-9102,range,1024-65535,,
HP_Jetsend,TCP,eq,1782,range,1024-65535,,
HTTP,TCP,eq,80,range,1-65535,,
HTTPS,TCP,eq,443,range,1-65535,,
ICMP_AddrMask,ICMP,,,,,17,Any
ICMP_Echo,ICMP,,,,,8,Any
ICMP_Info,ICMP,,,,,15,Any
ICMP_TimeStamp,ICMP,,,,,13,Any
IIOP,TCP,range,683-684,range,1024-65535,,
IKE,UDP,eq,500,eq,500,,
IKE_NAT_Traversal,UDP,eq,4500,eq,4500,,
IMAP,TCP,eq,143,range,1024-65535,,
IMAP_SSL,TCP,eq,993,range,1024-65535,,
IPP,UDP,eq,631,range,1024-65535,,
IPSEC_AH,AH,,,,,,
IPSEC_ESP,ESP,,,,,,
IRC,TCP,range,6665-6669,range,1024-65535,,
IntelPDS_UDP,UDP,eq,38293,range,1024-65535,,
Kerberos,UDP,eq,88,range,1024-65535,,
Kerberos5_kftp_Control,TCP,eq,6621,range,1024-65535,,
Kerberos5_kftp_Data,TCP,eq,6620,range,1024-65535,,
Kerberos5_ktelnet,TCP,eq,6623,range,1024-65535,,
Kerberos_TCP,TCP,eq,88,range,1024-65535,,
LDAP_SRS,TCP,eq,379,range,1024-65535,,
LDAP_SSL_TCP,TCP,eq,636,range,1024-65535,,
LDAP_TCP,TCP,range,389-390,range,1024-65535,,
LDAP_UDP,UDP,range,389-390,range,1024-65535,,
LPD,TCP,eq,515,range,1024-65535,,
MSN_MESSENGER,TCP,eq,1863,range,1024-65535,,
MSN_MESSENGER_FILE,TCP,range,6891-6900,range,1024-65535,,
MS_AD2008_Login,UDP,range,49152-49153,range,1024-65535,,
MS_AD2008_Login_TCP,TCP,range,49152-49153,range,1024-65535,,
MS_AD_Login,UDP,range,1025-1026,range,1024-65535,,
MS_AD_Login_TCP,TCP,range,1025-1026,range,1024-65535,,
MS_DS_TCP,TCP,eq,445,range,1024-65535,,
MS_DS_UDP,UDP,eq,445,range,1024-65535,,
MS_Global_Catalog_SSL_TCP,TCP,eq,3269,range,1024-65535,,
MS_Global_Catalog_SSL_UDP,UDP,eq,3269,range,1024-65535,,
MS_Global_Catalog_TCP,TCP,eq,3268,range,1024-65535,,
MS_Global_Catalog_UDP,UDP,eq,3268,range,1024-65535,,
MS_RDP,TCP,eq,3389,range,1024-65535,,
